name,status,source,delay,valid_days,viol_days,viol_frac,viol_maxpos,viol_long,viol_short,viol_total,max_streak,viol_head252,viol_tail762,clean_suffix_days,first_viol_date,last_viol_date
AlphaFguo20260303GA069,active,feature,1,2672,0,0.0,0,0,0,0,0,0,0,2672,,
AlphaFguo20260303GA070,active,feature,1,2670,0,0.0,0,0,0,0,0,0,0,2670,,
AlphaFguo20260303GA072,active,feature,1,2672,0,0.0,0,0,0,0,0,0,0,2672,,
AlphaFguo20260303GA073,active,feature,1,2673,0,0.0,0,0,0,0,0,0,0,2673,,
AlphaFguo20260303GA077,active,feature,1,2674,0,0.0,0,0,0,0,0,0,0,2674,,
AlphaFguo20260303GA078,active,feature,1,2673,0,0.0,0,0,0,0,0,0,0,2673,,
AlphaFguo20260303GA079,active,feature,1,2673,0,0.0,0,0,0,0,0,0,0,2673,,
AlphaFguo20260303GA080,active,feature,1,2673,0,0.0,0,0,0,0,0,0,0,2673,,
AlphaFguo20260303GA081,active,feature,1,2670,0,0.0,0,0,0,0,0,0,0,2670,,
AlphaFguo20260303GA082,active,feature,1,2671,0,0.0,0,0,0,0,0,0,0,2671,,
AlphaFguo20260303GA084,active,feature,1,2671,0,0.0,0,0,0,0,0,0,0,2671,,
AlphaFguo20260303GA086,active,feature,1,2674,0,0.0,0,0,0,0,0,0,0,2674,,
AlphaFguo20260303GA087,active,feature,1,2672,0,0.0,0,0,0,0,0,0,0,2672,,
AlphaFguo20260303GA088,active,feature,1,2673,0,0.0,0,0,0,0,0,0,0,2673,,
AlphaFguo20260303GA089,active,feature,1,2674,0,0.0,0,0,0,0,0,0,0,2674,,
AlphaFguo20260303GA090,active,feature,1,2673,0,0.0,0,0,0,0,0,0,0,2673,,
AlphaFguo20260303GA091,active,feature,1,2670,0,0.0,0,0,0,0,0,0,0,2670,,
AlphaFguo20260303GA092,active,feature,1,2674,0,0.0,0,0,0,0,0,0,0,2674,,
AlphaFguo20260303GA093,active,feature,1,2672,0,0.0,0,0,0,0,0,0,0,2672,,
AlphaFguo20260303GA094,active,feature,1,2673,0,0.0,0,0,0,0,0,0,0,2673,,
AlphaFguo20260303GA095,active,feature,1,2670,0,0.0,0,0,0,0,0,0,0,2670,,
AlphaFguo20260303GA096,active,feature,1,2674,0,0.0,0,0,0,0,0,0,0,2674,,
AlphaFguo20260303GA098,active,feature,1,2674,0,0.0,0,0,0,0,0,0,0,2674,,
AlphaFguo20260303GA100,active,feature,1,2667,0,0.0,0,0,0,0,0,0,0,2667,,
AlphaFguo20260303GA101,active,feature,1,2673,0,0.0,0,0,0,0,0,0,0,2673,,
AlphaFguo20260303GA103,active,feature,1,2671,0,0.0,0,0,0,0,0,0,0,2671,,
AlphaFguo20260303GA104,active,feature,1,2669,0,0.0,0,0,0,0,0,0,0,2669,,
AlphaFguo20260303GA105,active,feature,1,2671,0,0.0,0,0,0,0,0,0,0,2671,,
AlphaFguo20260303GA106,active,feature,1,2671,0,0.0,0,0,0,0,0,0,0,2671,,
AlphaFguo20260303GA107,active,feature,1,2671,0,0.0,0,0,0,0,0,0,0,2671,,
AlphaFguo20260303GA108,active,feature,1,2671,0,0.0,0,0,0,0,0,0,0,2671,,
AlphaFguo20260303GA109,active,feature,1,2671,0,0.0,0,0,0,0,0,0,0,2671,,
AlphaFguo20260303GA110,active,feature,1,2671,0,0.0,0,0,0,0,0,0,0,2671,,
AlphaFguo20260303GA111,active,feature,1,2669,0,0.0,0,0,0,0,0,0,0,2669,,
AlphaFguo20260303GA112,active,feature,1,2669,0,0.0,0,0,0,0,0,0,0,2669,,
AlphaFguo20260303GA113,active,feature,1,2671,0,0.0,0,0,0,0,0,0,0,2671,,
AlphaFguo20260303GA114,active,feature,1,2671,0,0.0,0,0,0,0,0,0,0,2671,,
AlphaFguo20260303GA115,active,feature,1,2671,0,0.0,0,0,0,0,0,0,0,2671,,
AlphaFguo20260303GA116,active,feature,1,2671,0,0.0,0,0,0,0,0,0,0,2671,,
AlphaFguo20260303GA117,active,feature,1,2669,0,0.0,0,0,0,0,0,0,0,2669,,
AlphaFguo20260303GA118,active,feature,1,2671,0,0.0,0,0,0,0,0,0,0,2671,,
AlphaFguo20260303GA119,active,feature,1,2671,0,0.0,0,0,0,0,0,0,0,2671,,
AlphaFguo20260303GA120,active,feature,1,2671,0,0.0,0,0,0,0,0,0,0,2671,,
AlphaFguo20260303GA121,active,feature,1,2669,0,0.0,0,0,0,0,0,0,0,2669,,
AlphaFguo20260303GA122,active,feature,1,2671,0,0.0,0,0,0,0,0,0,0,2671,,
AlphaFguo20260303GA124,active,feature,1,2671,0,0.0,0,0,0,0,0,0,0,2671,,
AlphaFguo20260303GA125,active,feature,1,2671,0,0.0,0,0,0,0,0,0,0,2671,,
AlphaFguo20260303GA126,active,feature,1,2671,0,0.0,0,0,0,0,0,0,0,2671,,
AlphaFguo20260303GA127,active,feature,1,2671,0,0.0,0,0,0,0,0,0,0,2671,,
AlphaFguo20260303GA128,active,feature,1,2671,0,0.0,0,0,0,0,0,0,0,2671,,
AlphaFguo20260303GA131,active,feature,1,2671,0,0.0,0,0,0,0,0,0,0,2671,,
AlphaFguo20260303GA132,active,feature,1,2671,0,0.0,0,0,0,0,0,0,0,2671,,
AlphaFguo20260303GA134,active,feature,1,2669,0,0.0,0,0,0,0,0,0,0,2669,,
AlphaFguo20260303GA135,active,feature,1,2671,0,0.0,0,0,0,0,0,0,0,2671,,
AlphaFguo20260303GA136,active,feature,1,2671,0,0.0,0,0,0,0,0,0,0,2671,,
AlphaFguo20260303GA137,active,feature,1,2671,0,0.0,0,0,0,0,0,0,0,2671,,
AlphaFguo20260303GA138,active,feature,1,2671,0,0.0,0,0,0,0,0,0,0,2671,,
AlphaFguo20260303GA139,active,feature,1,2669,0,0.0,0,0,0,0,0,0,0,2669,,
AlphaFguo20260303GA144,active,feature,1,2669,0,0.0,0,0,0,0,0,0,0,2669,,
AlphaFguo20260303GA145,active,feature,1,2671,0,0.0,0,0,0,0,0,0,0,2671,,
AlphaFguo20260303GA147,active,feature,1,2669,0,0.0,0,0,0,0,0,0,0,2669,,
AlphaFguo20260303GA148,active,feature,1,2669,0,0.0,0,0,0,0,0,0,0,2669,,
AlphaFguo20260303GA149,active,feature,1,2671,0,0.0,0,0,0,0,0,0,0,2671,,
AlphaFguo20260303GA150,active,feature,1,2671,0,0.0,0,0,0,0,0,0,0,2671,,
AlphaFguo20260303GA151,active,feature,1,2671,0,0.0,0,0,0,0,0,0,0,2671,,
AlphaFguo20260303GA152,active,feature,1,2671,0,0.0,0,0,0,0,0,0,0,2671,,
AlphaFguo20260303GA154,active,feature,1,2669,0,0.0,0,0,0,0,0,0,0,2669,,
AlphaFguo20260303GA155,active,feature,1,2671,0,0.0,0,0,0,0,0,0,0,2671,,
AlphaFguo20260303GA156,active,feature,1,2671,0,0.0,0,0,0,0,0,0,0,2671,,
AlphaFguo20260303GA157,active,feature,1,2669,0,0.0,0,0,0,0,0,0,0,2669,,
AlphaFguo20260303GA159,active,feature,1,2669,0,0.0,0,0,0,0,0,0,0,2669,,
AlphaFguo20260303GA160,active,feature,1,2671,0,0.0,0,0,0,0,0,0,0,2671,,
AlphaFguo20260303GA161,active,feature,1,2669,0,0.0,0,0,0,0,0,0,0,2669,,
AlphaFguo20260303GA162,active,feature,1,2671,0,0.0,0,0,0,0,0,0,0,2671,,
AlphaFguo20260303GA163,active,feature,1,2671,0,0.0,0,0,0,0,0,0,0,2671,,
AlphaFguo20260303GA164,active,feature,1,2671,0,0.0,0,0,0,0,0,0,0,2671,,
AlphaFguo20260303GA166,active,feature,1,2669,0,0.0,0,0,0,0,0,0,0,2669,,
AlphaFguo20260303GA167,active,feature,1,2671,0,0.0,0,0,0,0,0,0,0,2671,,
AlphaFguo20260303GA170,active,feature,1,2669,0,0.0,0,0,0,0,0,0,0,2669,,
AlphaFguo20260303GA172,active,feature,1,2671,0,0.0,0,0,0,0,0,0,0,2671,,
AlphaFguo20260303GA174,active,feature,1,2671,0,0.0,0,0,0,0,0,0,0,2671,,
