top_dir,sub_dir,field
DmgrPwang_industry_equ_fancy_factors,,t9_news_num_30
DmgrPwang_industry_equ_fancy_factors,,t9_news_num_pos_vol_30
DmgrPwang_industry_equ_fancy_factors,,t9_news_num_vol_30
DmgrPwang_industry_equ_fancy_factors,,t9_xtra_sell_pct
DmgrWbai_AIndexCSI1000Weight,,AIndexCSI1000Weight.weight
DmgrWbai_AIndexCSI500Weight,,AIndexCSI500Weight.weight
Dmgr_MktRet,,mkt_avg_ret
Dmgr_adv20,,Dmgr_adv20
Dpv,,dpv1
Dpv,,dpv10
Dpv,,dpv11
Dpv,,dpv12
Dpv,,dpv13
Dpv,,dpv14
Dpv,,dpv15
Dpv,,dpv16
Dpv,,dpv17
Dpv,,dpv18
Dpv,,dpv19
Dpv,,dpv2
Dpv,,dpv20
Dpv,,dpv3
Dpv,,dpv4
Dpv,,dpv5
Dpv,,dpv6
Dpv,,dpv7
Dpv,,dpv8
Dpv,,dpv9
Dpva,,dpva1
Dpva,,dpva10
Dpva,,dpva11
Dpva,,dpva12
Dpva,,dpva13
Dpva,,dpva14
Dpva,,dpva15
Dpva,,dpva16
Dpva,,dpva17
Dpva,,dpva18
Dpva,,dpva19
Dpva,,dpva2
Dpva,,dpva20
Dpva,,dpva3
Dpva,,dpva4
Dpva,,dpva5
Dpva,,dpva6
Dpva,,dpva7
Dpva,,dpva8
Dpva,,dpva9
Dpvb,,dpvb1
Dpvb,,dpvb10
Dpvb,,dpvb11
Dpvb,,dpvb12
Dpvb,,dpvb13
Dpvb,,dpvb14
Dpvb,,dpvb15
Dpvb,,dpvb16
Dpvb,,dpvb17
Dpvb,,dpvb18
Dpvb,,dpvb19
Dpvb,,dpvb2
Dpvb,,dpvb20
Dpvb,,dpvb3
Dpvb,,dpvb4
Dpvb,,dpvb5
Dpvb,,dpvb6
Dpvb,,dpvb7
Dpvb,,dpvb8
Dpvb,,dpvb9
Dpvc,,dpvc1
Dpvc,,dpvc10
Dpvc,,dpvc11
Dpvc,,dpvc12
Dpvc,,dpvc13
Dpvc,,dpvc14
Dpvc,,dpvc15
Dpvc,,dpvc16
Dpvc,,dpvc17
Dpvc,,dpvc18
Dpvc,,dpvc19
Dpvc,,dpvc2
Dpvc,,dpvc20
Dpvc,,dpvc3
Dpvc,,dpvc4
Dpvc,,dpvc5
Dpvc,,dpvc6
Dpvc,,dpvc7
Dpvc,,dpvc8
Dpvc,,dpvc9
Dpvd,,dpvd1
Dpvd,,dpvd10
Dpvd,,dpvd11
Dpvd,,dpvd12
Dpvd,,dpvd13
Dpvd,,dpvd14
Dpvd,,dpvd15
Dpvd,,dpvd16
Dpvd,,dpvd17
Dpvd,,dpvd18
Dpvd,,dpvd19
Dpvd,,dpvd2
Dpvd,,dpvd20
Dpvd,,dpvd3
Dpvd,,dpvd4
Dpvd,,dpvd5
Dpvd,,dpvd6
Dpvd,,dpvd7
Dpvd,,dpvd8
Dpvd,,dpvd9
FULL,,FULL
HS300,,HS300
Interval5m,,amo
Interval5m,,close
Interval5m,,high
Interval5m,,low
Interval5m,,open
Interval5m,,pctchange
Interval5m,,ret
Interval5m,,vol
Interval5m,,vwap
PriceLimit,,lower_limit
PriceLimit,,upper_limit
TOP1000,,TOP1000
TOP1500,,TOP1500
TOP2000,,TOP2000
TOP2600,,TOP2600
TOP3000,,TOP3000
TOP3300,,TOP3300
TOP4000,,TOP4000
ZZ1000,,ZZ1000
ZZ500,,ZZ500
__universe,,Dates
__universe,,Instruments
adjfactor,,adjfactor
aindexeodprices,,s_dq_amount_000001
aindexeodprices,,s_dq_amount_000016
aindexeodprices,,s_dq_amount_000300
aindexeodprices,,s_dq_amount_000852
aindexeodprices,,s_dq_amount_000905
aindexeodprices,,s_dq_amount_000906
aindexeodprices,,s_dq_amount_399001
aindexeodprices,,s_dq_amount_399005
aindexeodprices,,s_dq_amount_399006
aindexeodprices,,s_dq_change_000001
aindexeodprices,,s_dq_change_000016
aindexeodprices,,s_dq_change_000300
aindexeodprices,,s_dq_change_000852
aindexeodprices,,s_dq_change_000905
aindexeodprices,,s_dq_change_000906
aindexeodprices,,s_dq_change_399001
aindexeodprices,,s_dq_change_399005
